imdb_id,production_countries,genres,budget,original_language,original_title,overview,popularity,poster_path,release_date,revenue,runtime,spoken_languages,status,title,vote_average,vote_count,production_companies_name,actor,director,poster_url
tt0109830,['US'],"['Comedy', 'Drama', 'Romance']",55000000,en,Forrest Gump,"A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.",52.321,/arw2vcBveWOVZr6pxd9XTd1TdQa.jpg,1994-06-23,677387716,142,['en'],Released,Forrest Gump,8.481,24593,"['Paramount', 'The Steve Tisch Company', 'Wendy Finerman Productions']","Tom Hanks, Robin Wright",Robert Zemeckis,https://image.tmdb.org/t/p/original/arw2vcBveWOVZr6pxd9XTd1TdQa.jpg
tt0078788,['US'],"['Drama', 'War']",31500000,en,Apocalypse Now,"At the height of the Vietnam war, Captain Benjamin Willard is sent on a dangerous mission that, officially, ""does not exist, nor will it ever exist."" His goal is to locate - and eliminate - a mysterious Green Beret Colonel named Walter Kurtz, who has been leading his personal army on illegal guerrilla missions into enemy territory.",31.785,/gQB8Y5RCMkv2zwzFHbUJX3kAhvA.jpg,1979-08-15,150000000,147,"['km', 'en', 'fr', 'vi']",Released,Apocalypse Now,8.281,7199,"['United Artists', 'American Zoetrope']","Martin Sheen, Marlon Brando",Francis Ford Coppola,https://image.tmdb.org/t/p/original/gQB8Y5RCMkv2zwzFHbUJX3kAhvA.jpg
tt0088846,"['GB', 'US']","['Comedy', 'Science Fiction']",15000000,en,Brazil,"Low-level bureaucrat Sam Lowry escapes the monotony of his day-to-day life through a recurring daydream of himself as a virtuous hero saving a beautiful damsel. Investigating a case that led to the wrongful arrest and eventual death of an innocent man instead of wanted terrorist Harry Tuttle, he meets the woman from his daydream, and in trying to help her gets caught in a web of mistaken identities, mindless bureaucracy and lies.",14.861,/d0PibPzCK4fVikjoD1PqHovbvkt.jpg,1985-02-20,9900000,143,['en'],Released,Brazil,7.683,2915,['Embassy International Pictures'],"Jonathan Pryce, Kim Greist",Terry Gilliam,https://image.tmdb.org/t/p/original/d0PibPzCK4fVikjoD1PqHovbvkt.jpg
tt0112471,"['AT', 'CH', 'US']","['Drama', 'Romance']",2500000,en,Before Sunrise,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.",22.325,/kf1Jb1c2JAOqjuzA3H4oDM263uB.jpg,1995-01-27,5987386,101,"['en', 'de', 'fr']",Released,Before Sunrise,7.968,3547,"['Castle Rock Entertainment', 'Filmhaus Films', 'Detour Filmproduction']","Ethan Hawke, Julie Delpy",Richard Linklater,https://image.tmdb.org/t/p/original/kf1Jb1c2JAOqjuzA3H4oDM263uB.jpg
tt0083658,"['US', 'HK', 'GB']","['Science Fiction', 'Drama', 'Thriller']",28000000,en,Blade Runner,"In the smog-choked dystopian Los Angeles of 2019, blade runner Rick Deckard is called out of retirement to terminate a quartet of replicants who have escaped to Earth seeking their creator for a way to extend their short life spans.",44.364,/63N9uy8nd9j7Eog2axPQ8lbr3Wj.jpg,1982-06-25,41722424,118,"['en', 'de', 'cn', 'ja', 'hu']",Released,Blade Runner,7.934,12371,"['Shaw Brothers', 'The Ladd Company', 'Warner Bros. Pictures']","Harrison Ford, Rutger Hauer",Ridley Scott,https://image.tmdb.org/t/p/original/63N9uy8nd9j7Eog2axPQ8lbr3Wj.jpg
tt0092890,['US'],"['Drama', 'Music', 'Romance']",6000000,en,Dirty Dancing,"Expecting the usual tedium that accompanies a summer in the Catskills with her family, 17-year-old Frances 'Baby' Houseman is surprised to find herself stepping into the shoes of a professional hoofer—and unexpectedly falling in love.",27.214,/9Jw6jys7q9gjzVX5zm1z0gC8gY9.jpg,1987-08-21,214577242,100,['en'],Released,Dirty Dancing,7.347,5489,"['Great American Films Limited Partnership', 'Vestron Pictures']","Patrick Swayze, Jennifer Grey",Emile Ardolino,https://image.tmdb.org/t/p/original/9Jw6jys7q9gjzVX5zm1z0gC8gY9.jpg
tt0086960,['US'],"['Action', 'Comedy', 'Crime']",14000000,en,Beverly Hills Cop,A freewheeling Detroit cop pursuing a murder investigation finds himself dealing with the very different culture of Beverly Hills.,19.139,/eBJEvKkhQ0tUt1dBAcTEYW6kCle.jpg,1984-12-05,316360478,105,['en'],Released,Beverly Hills Cop,7.185,3516,"['Paramount', 'Eddie Murphy Productions', 'Don Simpson/Jerry Bruckheimer Films']","Eddie Murphy, Judge Reinhold",Martin Brest,https://image.tmdb.org/t/p/original/eBJEvKkhQ0tUt1dBAcTEYW6kCle.jpg
tt0092644,['US'],"['Action', 'Comedy', 'Crime']",28000000,en,Beverly Hills Cop II,"Axel heads for the land of sunshine and palm trees to find out who shot police Captain Andrew Bogomil. Thanks to a couple of old friends, Axel's investigation uncovers a series of robberies masterminded by a heartless weapons kingpin—and the chase is on.",19.05,/egDakU8O5yUwpUJP9IMAUVtIDll.jpg,1987-05-18,299965036,103,['en'],Released,Beverly Hills Cop II,6.467,2068,"['Eddie Murphy Productions', 'Paramount', 'Don Simpson/Jerry Bruckheimer Films']","Eddie Murphy, Judge Reinhold",Tony Scott,https://image.tmdb.org/t/p/original/egDakU8O5yUwpUJP9IMAUVtIDll.jpg
tt0110413,"['US', 'FR']","['Crime', 'Drama', 'Action']",16000000,en,Léon: The Professional,"Léon, the top hit man in New York, has earned a rep as an effective ""cleaner"". But when his next-door neighbors are wiped out by a loose-cannon DEA agent, he becomes the unwilling custodian of 12-year-old Mathilda. Before long, Mathilda's thoughts turn to revenge, and she considers following in Léon's footsteps.",44.701,/yI6X2cCM5YPJtxMhUd3dPGqDAhw.jpg,1994-09-14,45284974,111,"['en', 'fr', 'it']",Released,Léon: The Professional,8.3,13202,"['Gaumont', 'Les Films du Dauphin']","Jean Reno, Gary Oldman",Luc Besson,https://image.tmdb.org/t/p/original/yI6X2cCM5YPJtxMhUd3dPGqDAhw.jpg
tt0075314,['US'],"['Crime', 'Drama']",1300000,en,Taxi Driver,A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feed his urge for violent action.,42.318,/ekstpH614fwDX8DUln1a2Opz0N8.jpg,1976-02-09,28570902,114,"['en', 'es']",Released,Taxi Driver,8.165,10604,"['Italo/Judeo Productions', 'Bill/Phillips', 'Columbia Pictures']","Robert De Niro, Jodie Foster",Martin Scorsese,https://image.tmdb.org/t/p/original/ekstpH614fwDX8DUln1a2Opz0N8.jpg
tt0088763,['US'],"['Adventure', 'Comedy', 'Science Fiction']",19000000,en,Back to the Future,"Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.",53.454,/fNOH9f1aA7XRTzl1sAOx9iF553Q.jpg,1985-07-03,381109762,116,['en'],Released,Back to the Future,8.312,17880,"['Universal Pictures', 'Amblin Entertainment']","Michael J. Fox, Christopher Lloyd",Robert Zemeckis,https://image.tmdb.org/t/p/original/fNOH9f1aA7XRTzl1sAOx9iF553Q.jpg
tt0108394,"['FR', 'PL', 'CH']",['Drama'],0,fr,Trois couleurs : Bleu,"Julie is haunted by her grief after living through a tragic auto wreck that claimed the life of her composer husband and young daughter. Her initial reaction is to withdraw from her relationships, lock herself in her apartment and suppress her pain. But avoiding human interactions on the bustling streets of Paris proves impossible, and she eventually meets up with Olivier, an old friend who harbors a secret love for her, and who could draw her back to reality.",13.814,/33wsWxzsNstI8N7dvuwzFmj1qBd.jpg,1993-08-01,0,98,"['fr', 'pl']",Released,Three Colors: Blue,7.7,1421,"['France 3 Cinéma', 'CED Productions', 'Miramax']","Juliette Binoche, Zbigniew Zamachowski",Krzysztof Kieslowski,https://image.tmdb.org/t/p/original/33wsWxzsNstI8N7dvuwzFmj1qBd.jpg
tt0111507,"['FR', 'PL']","['Comedy', 'Drama', 'Mystery']",0,fr,Trois couleurs : Blanc,"Polish immigrant Karol Karol finds himself out of a marriage, a job and a country when his French wife, Dominique, divorces him after six months due to his impotence. Forced to leave France after losing the business they jointly owned, Karol enlists fellow Polish expatriate Mikołaj to smuggle him back to their homeland.",13.473,/fdIet3NSa27gobMbaUml66oCQNT.jpg,1994-01-26,0,92,"['fr', 'hu', 'pl']",Released,Three Colors: White,7.482,989,"['Le Studio Canal+', 'France 3 Cinéma', 'Eurimages', 'Miramax']","Zbigniew Zamachowski, Julie Delpy",Krzysztof Kieslowski,https://image.tmdb.org/t/p/original/fdIet3NSa27gobMbaUml66oCQNT.jpg
tt0111495,"['FR', 'PL', 'CH']","['Drama', 'Mystery', 'Romance']",0,fr,Trois couleurs : Rouge,"Valentine, a student model in Geneva, struggles with a possessive boyfriend and a troubled family. When she runs over a dog, she discovers that its owner, a retired judge, is illegally wiretapping and eavesdropping on his neighbors' phone calls. Although Valentine is outraged, she develops a strange bond with the judge – and as the two become closer, she finds herself caught in the middle of events that could change her life.",12.935,/JHmsBiX1tjCKqAul1lzC20WcAW.jpg,1994-05-12,0,100,['fr'],Released,Three Colors: Red,7.957,1160,"['Zespół Filmowy TOR', 'Le Studio Canal+', 'France 3 Cinéma', 'TSR']","Irène Jacob, Jean-Louis Trintignant",Krzysztof Kieslowski,https://image.tmdb.org/t/p/original/JHmsBiX1tjCKqAul1lzC20WcAW.jpg
tt0086250,['US'],"['Action', 'Crime', 'Drama']",25000000,en,Scarface,"After getting a green card in exchange for assassinating a Cuban government official, Tony Montana stakes a claim on the drug trade in Miami. Viciously murdering anyone who stands in his way, Tony eventually becomes the biggest drug lord in the state, controlling nearly all the cocaine that comes through Miami. But increased pressure from the police, wars with Colombian drug cartels and his own drug-fueled paranoia serve to fuel the flames of his eventual downfall.",66.451,/iQ5ztdjvteGeboxtmRdXEChJOHh.jpg,1983-12-09,66023329,169,"['en', 'es']",Released,Scarface,8.165,10307,['Universal Pictures'],"Al Pacino, Michelle Pfeiffer",Brian De Palma,https://image.tmdb.org/t/p/original/iQ5ztdjvteGeboxtmRdXEChJOHh.jpg
tt0100405,['US'],"['Comedy', 'Romance']",14000000,en,Pretty Woman,"When a millionaire wheeler-dealer enters a business contract with a Hollywood hooker Vivian Ward, he loses his heart in the bargain.",34.802,/hVHUfT801LQATGd26VPzhorIYza.jpg,1990-03-23,463406268,119,['en'],Released,Pretty Woman,7.427,7025,"['Touchstone Pictures', 'Silver Screen Partners IV']","Richard Gere, Julia Roberts",Garry Marshall,https://image.tmdb.org/t/p/original/hVHUfT801LQATGd26VPzhorIYza.jpg
tt0094226,['US'],"['Crime', 'Drama', 'History', 'Thriller']",25000000,en,The Untouchables,"Young Treasury Agent Eliot Ness arrives in Chicago and is determined to take down Al Capone, but it's not going to be easy because Capone has the police in his pocket. Ness meets Jim Malone, a veteran patrolman and probably the most honorable one on the force. He asks Malone to help him get Capone, but Malone warns him that if he goes after Capone, he is going to war.",19.949,/8BquGK22zCcsmBWiaIakaaPpSZb.jpg,1987-06-03,76270454,119,['en'],Released,The Untouchables,7.768,5017,['Paramount'],"Kevin Costner, Sean Connery",Brian De Palma,https://image.tmdb.org/t/p/original/8BquGK22zCcsmBWiaIakaaPpSZb.jpg
tt0107048,['US'],"['Romance', 'Fantasy', 'Drama', 'Comedy']",14600000,en,Groundhog Day,"A narcissistic TV weatherman, along with his attractive-but-distant producer, and his mawkish cameraman, is sent to report on Groundhog Day in the small town of Punxsutawney, where he finds himself repeating the same day over and over.",21.795,/qIwyDf5k0eNsrfQjd0HCkeraNGD.jpg,1993-02-11,71074049,101,"['en', 'fr', 'it']",Released,Groundhog Day,7.603,6963,['Columbia Pictures'],"Bill Murray, Andie MacDowell",Harold Ramis,https://image.tmdb.org/t/p/original/qIwyDf5k0eNsrfQjd0HCkeraNGD.jpg
tt0083511,['US'],"['Thriller', 'Action', 'Comedy', 'Crime', 'Drama']",12000000,en,48 Hrs.,"A hard-nosed cop reluctantly teams up with a wise-cracking criminal temporarily paroled to him, in order to track down a killer.",18.624,/aDzOj4a9HvgRjjAEgwXyztCWVXq.jpg,1982-12-07,78868508,96,['en'],Released,48 Hrs.,6.67,1253,['Paramount'],"Nick Nolte, Eddie Murphy",Walter Hill,https://image.tmdb.org/t/p/original/aDzOj4a9HvgRjjAEgwXyztCWVXq.jpg
tt0099487,['US'],"['Fantasy', 'Drama', 'Romance']",20000000,en,Edward Scissorhands,A small suburban town receives a visit from a castaway unfinished science experiment named Edward.,32.895,/e0FqKFvGPdQNWG8tF9cZBtev9Em.jpg,1990-12-05,53000000,105,['en'],Released,Edward Scissorhands,7.716,11747,['20th Century Fox'],"Johnny Depp, Winona Ryder",Tim Burton,https://image.tmdb.org/t/p/original/e0FqKFvGPdQNWG8tF9cZBtev9Em.jpg
tt0096874,['US'],"['Adventure', 'Comedy', 'Science Fiction']",40000000,en,Back to the Future Part II,"Marty and Doc are at it again in this wacky sequel to the 1985 blockbuster as the time-traveling duo head to 2015 to nip some McFly family woes in the bud. But things go awry thanks to bully Biff Tannen and a pesky sports almanac. In a last-ditch attempt to set things straight, Marty finds himself bound for 1955 and face to face with his teenage parents -- again.",32.847,/hQq8xZe5uLjFzSBt4LanNP7SQjl.jpg,1989-11-22,332000000,108,['en'],Released,Back to the Future Part II,7.752,11465,"['Universal Pictures', 'Amblin Entertainment']","Michael J. Fox, Michael J. Fox",Robert Zemeckis,https://image.tmdb.org/t/p/original/hQq8xZe5uLjFzSBt4LanNP7SQjl.jpg
tt0082100,['FR'],"['Drama', 'Romance', 'Comedy']",0,fr,La Boum,"A thirteen-year-old French girl deals with moving to a new city and school in Paris, while at the same time her parents are getting a divorce.",11.894,/9MWrgGzJ3eBemfAaOr9sof206CW.jpg,1980-12-17,0,110,['fr'],Released,The Party,6.605,1019,"['Productions Marcel Dassault', 'Gaumont', 'Gaumont International']","Claude Brasseur, Brigitte Fossey",Claude Pinoteau,https://image.tmdb.org/t/p/original/9MWrgGzJ3eBemfAaOr9sof206CW.jpg
tt0083686,['FR'],"['Comedy', 'Romance', 'Drama']",0,fr,La Boum 2,A young French teenage girl after moving to a new city falls in love with a boy and is thinking of having sex with him because her girlfriends have already done it.,9.257,/pbkccDoxH1H1VdqWcQYycZxHTIK.jpg,1982-12-08,0,109,['fr'],Released,The Party 2,6.454,570,"['Productions Marcel Dassault', 'Gaumont', 'Gaumont International']","Claude Brasseur, Brigitte Fossey",Claude Pinoteau,https://image.tmdb.org/t/p/original/pbkccDoxH1H1VdqWcQYycZxHTIK.jpg
tt0095250,"['FR', 'IT', 'US']","['Adventure', 'Drama', 'Romance']",14390509,fr,Le Grand Bleu,"Two men answer the call of the ocean in this romantic fantasy-adventure.  Jacques and Enzo are a pair of friends who have been close since childhood, and who share a passion for the dangerous sport of free diving. Professional diver Jacques opted to follow in the footsteps of his father, who died at sea when Jacques was a boy; to the bewilderment of scientists, Jacques harbors a remarkable ability to adjust his heart rate and breathing pattern in the water, so that his vital signs more closely resemble that of dolphins than men.  As Enzo persuades a reluctant Jacques to compete against him in a free diving contest -- determining who can dive deeper and longer without scuba gear -- Jacques meets Johana, a beautiful insurance investigator from America, and he finds that he must choose between his love for her and his love of the sea.",16.11,/vbi56h6a1BGjnhq2RnUrcQZs2aV.jpg,1988-05-10,0,168,"['en', 'fr', 'it']",Released,The Big Blue,7.459,1262,['Gaumont'],"Jean-Marc Barr, Jean Reno",Luc Besson,https://image.tmdb.org/t/p/original/vbi56h6a1BGjnhq2RnUrcQZs2aV.jpg
tt0101889,['US'],"['Comedy', 'Drama']",24000000,en,The Fisher King,Two troubled men face their terrible destinies and events of their past as they join together on a mission to find the Holy Grail and thus to save themselves.,12.822,/5mb1IV53luUNTRyF3TSC77X1KZs.jpg,1991-09-20,41895491,138,['en'],Released,The Fisher King,7.276,1153,['TriStar Pictures'],"Jeff Bridges, Robin Williams",Terry Gilliam,https://image.tmdb.org/t/p/original/5mb1IV53luUNTRyF3TSC77X1KZs.jpg
tt0098663,['US'],"['Adventure', 'Comedy', 'Drama', 'Family']",6000000,en,The Wizard,"A boy and his brother run away from home and hitch cross-country, with help from a girl they meet, to compete in the ultimate video-game championship.",8.666,/dtgNNq3TBbpBX6RXHLt5gAMdwPV.jpg,1989-12-15,14278900,100,"['en', 'it']",Released,The Wizard,6.0,265,"['Universal Pictures', 'Carolco Pictures', 'Finnegan/Pinchuk Productions', 'Pipeline Productions']","Fred Savage, Luke Edwards",Todd Holland,https://image.tmdb.org/t/p/original/dtgNNq3TBbpBX6RXHLt5gAMdwPV.jpg
tt0091605,"['FR', 'DE', 'IT']","['Drama', 'Thriller', 'Mystery']",18000000,en,The Name of the Rose,"14th-century Franciscan monk William of Baskerville and his young novice arrive at a conference to find that several monks have been murdered under mysterious circumstances. To solve the crimes, William must rise up against the Church's authority and fight the shadowy conspiracy of monastery monks using only his intelligence – which is considerable.",16.693,/d6dlbTBb3N7nXDz7tQslDJs2jgv.jpg,1986-09-24,77200000,130,"['de', 'en', 'it', 'la']",Released,The Name of the Rose,7.469,2627,"['Cristaldifilm', 'Les Films Ariane', 'ZDF', 'RAI', 'Constantin Film']","Sean Connery, Christian Slater",Jean-Jacques Annaud,https://image.tmdb.org/t/p/original/d6dlbTBb3N7nXDz7tQslDJs2jgv.jpg
tt0099088,['US'],"['Adventure', 'Comedy', 'Science Fiction']",40000000,en,Back to the Future Part III,"The final installment of the Back to the Future trilogy finds Marty digging the trusty DeLorean out of a mineshaft and looking for Doc in the Wild West of 1885. But when their time machine breaks down, the travelers are stranded in a land of spurs. More problems arise when Doc falls for pretty schoolteacher Clara Clayton, and Marty tangles with Buford Tannen.",19.993,/crzoVQnMzIrRfHtQw0tLBirNfVg.jpg,1990-05-25,244527583,119,['en'],Released,Back to the Future Part III,7.463,9379,"['Universal Pictures', 'Amblin Entertainment']","Michael J. Fox, Michael J. Fox",Robert Zemeckis,https://image.tmdb.org/t/p/original/crzoVQnMzIrRfHtQw0tLBirNfVg.jpg
tt0112573,['US'],"['Action', 'Drama', 'History', 'War']",72000000,en,Braveheart,"Enraged at the slaughter of Murron, his new bride and childhood love, Scottish warrior William Wallace slays a platoon of the local English lord's soldiers. This leads the village to revolt and, eventually, the entire country to rise up against English rule.",36.238,/or1gBugydmjToAEq7OZY0owwFk.jpg,1995-05-24,213216216,178,"['en', 'fr', 'la', 'gd']",Released,Braveheart,7.93,9077,"['Icon Entertainment International', 'The Ladd Company', 'B.H. Finance C.V.']","Mel Gibson, Sophie Marceau",Mel Gibson,https://image.tmdb.org/t/p/original/or1gBugydmjToAEq7OZY0owwFk.jpg
tt0097165,['US'],['Drama'],16400000,en,Dead Poets Society,"At an elite, old-fashioned boarding school in New England, a passionate English teacher inspires his students to rebel against convention and seize the potential of every day, courting the disdain of the stern headmaster.",33.007,/ai40gM7SUaGA6fthvsd87o8IQq4.jpg,1989-06-02,235860116,128,"['en', 'la']",Released,Dead Poets Society,8.316,9935,"['Touchstone Pictures', 'Silver Screen Partners IV', 'A Steven Haft Production', 'Witt/Thomas Productions']","Robin Williams, Robert Sean Leonard",Peter Weir,https://image.tmdb.org/t/p/original/ai40gM7SUaGA6fthvsd87o8IQq4.jpg
tt0086066,['US'],"['Crime', 'Drama']",10000000,en,The Outsiders,"When two poor Greasers, Johnny and Ponyboy, are assaulted by a vicious gang, the Socs, and Johnny kills one of the attackers, tension begins to mount between the two rival gangs, setting off a turbulent chain of events.",30.365,/fWoauna09D6J1HsFwSlj32L2pOd.jpg,1983-03-25,33697647,91,['en'],Released,The Outsiders,7.242,1130,"['Warner Bros. Pictures', 'American Zoetrope']","C. Thomas Howell, Matt Dillon",Francis Ford Coppola,https://image.tmdb.org/t/p/original/fWoauna09D6J1HsFwSlj32L2pOd.jpg
tt0086216,['US'],"['Action', 'Crime', 'Drama']",10000000,en,Rumble Fish,"Rusty James, an absent-minded street thug, struggles to live up to his legendary older brother's reputation, and longs for the days when gang warfare was going on.",12.866,/vwMfVhBwAcRT7K0xjFrNoNf9YRb.jpg,1983-10-20,2494480,94,['en'],Released,Rumble Fish,6.984,573,"['Universal Pictures', 'American Zoetrope']","Matt Dillon, Mickey Rourke",Francis Ford Coppola,https://image.tmdb.org/t/p/original/vwMfVhBwAcRT7K0xjFrNoNf9YRb.jpg
tt0080117,['US'],['Drama'],0,en,The Wanderers,The streets of the Bronx are owned by '60s youth gangs where the joy and pain of adolescence is lived. Philip Kaufman tells his take on the novel by Richard Price about the history of the Italian-American gang ‘The Wanderers.’,14.842,/oedFtX9hZZWpD7L5wkD0WxSteY2.jpg,1979-07-13,23000000,117,['en'],Released,The Wanderers,6.985,162,['Orion Pictures'],"Ken Wahl, Karen Allen",Philip Kaufman,https://image.tmdb.org/t/p/original/oedFtX9hZZWpD7L5wkD0WxSteY2.jpg
tt0092005,['US'],"['Crime', 'Drama']",8000000,en,Stand by Me,"Gordie, Chris, Teddy and Vern are four friends who decide to hike to find the corpse of Ray Brower, a local teenager, who was hit by a train while plucking blueberries in the wild.",21.507,/vz0w9BSehcqjDcJOjRaCk7fgJe7.jpg,1986-08-08,52287414,89,['en'],Released,Stand by Me,7.862,5071,"['Columbia Pictures', 'Act III Productions']","Wil Wheaton, River Phoenix",Rob Reiner,https://image.tmdb.org/t/p/original/vz0w9BSehcqjDcJOjRaCk7fgJe7.jpg
tt0110598,"['AU', 'FR']","['Comedy', 'Drama', 'Romance']",3000000,en,Muriel's Wedding,"A young social outcast in Australia steals money from her parents to finance a vacation where she hopes to find happiness, and perhaps love.",11.145,/zJyTr8Fo412a2OIfJGXTRAm4IwX.jpg,1994-09-29,15119639,106,"['en', 'ja']",Released,Muriel's Wedding,6.889,377,"['CiBy 2000', 'Film Victoria', 'House & Moorhouse Films']","Toni Collette, Rachel Griffiths",P.J. Hogan,https://image.tmdb.org/t/p/original/zJyTr8Fo412a2OIfJGXTRAm4IwX.jpg
tt0110632,['US'],"['Crime', 'Thriller', 'Drama']",34000000,en,Natural Born Killers,Two victims of traumatized childhoods become lovers and serial murderers irresponsibly glorified by the mass media.,18.629,/fEKZwT91gxvkAoyPgpNXo8W5fu0.jpg,1994-08-25,50283563,118,"['en', 'nv', 'ja']",Released,Natural Born Killers,7.1,2995,"['J D Productions', 'Regency Enterprises', 'Alcor Films', 'Ixtlan', 'New Regency Pictures', 'Warner Bros. Pictures']","Woody Harrelson, Juliette Lewis",Oliver Stone,https://image.tmdb.org/t/p/original/fEKZwT91gxvkAoyPgpNXo8W5fu0.jpg
tt0099674,['US'],"['Crime', 'Drama', 'Thriller']",54000000,en,The Godfather Part III,"In the midst of trying to legitimize his business dealings in 1979 New York and Italy, aging mafia don, Michael Corleone seeks forgiveness for his sins while taking a young protege under his wing.",38.542,/lm3pQ2QoQ16pextRsmnUbG2onES.jpg,1990-12-25,136766062,170,"['en', 'it', 'de', 'la']",Released,The Godfather Part III,7.424,5424,"['Paramount', 'American Zoetrope']","Al Pacino, Diane Keaton",Francis Ford Coppola,https://image.tmdb.org/t/p/original/lm3pQ2QoQ16pextRsmnUbG2onES.jpg
tt0098621,['US'],"['Comedy', 'Drama']",26000000,en,The War of the Roses,"The Roses, Barbara and Oliver, live happily as a married couple. Then she starts to wonder what life would be like without Oliver, and likes what she sees. Both want to stay in the house, and so they begin a campaign to force each other to leave. In the middle of the fighting is D'Amato, the divorce lawyer. He gets to see how far both will go to get rid of the other, and boy do they go far.",13.111,/9VWwYsuXhRImUtrJGvN6bYJB2He.jpg,1989-12-08,160188546,116,['en'],Released,The War of the Roses,6.877,973,"['Jersey Films', 'Gracie Films', '20th Century Fox']","Michael Douglas, Kathleen Turner",Danny DeVito,https://image.tmdb.org/t/p/original/9VWwYsuXhRImUtrJGvN6bYJB2He.jpg
tt0099653,['US'],"['Fantasy', 'Drama', 'Thriller', 'Mystery', 'Romance']",22000000,en,Ghost,"Sam Wheat is a banker, Molly Jensen is an artist, and the two are madly in love. However, when Sam is murdered by his friend and corrupt business partner Carl Bruner over a shady business deal, he is left to roam the earth as a powerless spirit. When he learns of Carl's betrayal, Sam must seek the help of psychic Oda Mae Brown to set things right and protect Molly from Carl and his goons.",29.668,/w9RaPHov8oM5cnzeE27isnFMsvS.jpg,1990-07-12,505000000,127,['en'],Released,Ghost,7.207,4947,['Paramount'],"Patrick Swayze, Demi Moore",Jerry Zucker,https://image.tmdb.org/t/p/original/w9RaPHov8oM5cnzeE27isnFMsvS.jpg
tt0078771,['FR'],"['Comedy', 'Drama', 'Romance']",0,fr,L'Amour en fuite,"Antoine is now 30, working as a proofreader and getting divorced from his his wife. It being the first ""no-fault"" divorce in France, a media circus erupts, dredging up Antoine's past. Indecisive about his new love with a store clerk, he impulsively takes off with an old flame.",8.446,/hEtuFlpeb5ZU5fa5klkKA5Q3G36.jpg,1979-01-24,0,93,['fr'],Released,Love on the Run,7.1,169,['Les Films du Carrosse'],"Jean-Pierre Léaud, Claude Jade",François Truffaut,https://image.tmdb.org/t/p/original/hEtuFlpeb5ZU5fa5klkKA5Q3G36.jpg
tt0085794,['US'],"['Drama', 'Comedy']",20000000,en,The King of Comedy,"Aspiring comic Rupert Pupkin attempts to achieve success in show business by stalking his idol, a late night talk-show host who craves his own privacy.",14.58,/3BM78deUfeZfShqPTblZuamgC8a.jpg,1982-12-18,2536000,109,['en'],Released,The King of Comedy,7.8,1911,"['Embassy International Pictures', '20th Century Fox']","Robert De Niro, Jerry Lewis",Martin Scorsese,https://image.tmdb.org/t/p/original/3BM78deUfeZfShqPTblZuamgC8a.jpg
tt0102926,['US'],"['Crime', 'Drama', 'Thriller']",19000000,en,The Silence of the Lambs,"Clarice Starling is a top student at the FBI's training academy.  Jack Crawford wants Clarice to interview Dr. Hannibal Lecter, a brilliant psychiatrist who is also a violent psychopath, serving life behind bars for various acts of murder and cannibalism.  Crawford believes that Lecter may have insight into a case and that Starling, as an attractive young woman, may be just the bait to draw him out.",7.719,/uS9m8OBk1A8eM9I042bx8XXpqAq.jpg,1991-02-14,272742922,119,['en'],Released,The Silence of the Lambs,8.346,14476,"['Orion Pictures', 'Strong Heart/Demme Production']","Jodie Foster, Anthony Hopkins",Jonathan Demme,https://image.tmdb.org/t/p/original/uS9m8OBk1A8eM9I042bx8XXpqAq.jpg
tt0111161,['US'],"['Drama', 'Crime']",25000000,en,The Shawshank Redemption,"Framed in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",84.139,/q6y0Go1tsGEsmtFryDOJo3dEmqu.jpg,1994-09-23,28341469,142,['en'],Released,The Shawshank Redemption,8.703,23719,['Castle Rock Entertainment'],"Tim Robbins, Morgan Freeman",Frank Darabont,https://image.tmdb.org/t/p/original/q6y0Go1tsGEsmtFryDOJo3dEmqu.jpg
tt0086879,['US'],"['History', 'Music', 'Drama']",18000000,en,Amadeus,"Wolfgang Amadeus Mozart is a remarkably talented young Viennese composer who unwittingly finds a fierce rival in the disciplined and determined Antonio Salieri. Resenting Mozart for both his hedonistic lifestyle and his undeniable talent, the highly religious Salieri is gradually consumed by his jealousy and becomes obsessed with Mozart's downfall, leading to a devious scheme that has dire consequences for both men.",20.584,/1n5VUlCqgmVax1adxGZm8oCFaKc.jpg,1984-09-19,51973029,180,"['en', 'de', 'it', 'la']",Released,Amadeus,8.039,3683,"['AMLF', 'The Saul Zaentz Company']","F. Murray Abraham, Tom Hulce",Milos Forman,https://image.tmdb.org/t/p/original/1n5VUlCqgmVax1adxGZm8oCFaKc.jpg
